2025-08-12 16:16:01.132  1123-1256  ApfFilter               com.android.networkstack.process     D  (wlan0): Adding RA fe80::2 -> ff02::1 1800s fec0::/64 86400s/14400s
2025-08-12 16:16:02.462   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.462   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.463   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.464   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.464   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.464   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.464   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.464   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.465   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.465   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.465   747-895   IPCThreadState          system_server                        W  Sending oneway calls to frozen process.
2025-08-12 16:16:02.466   747-895   AppsFilter              system_server                        I  interaction: PackageSetting{ee75a41 com.android.microdroid.empty_payload/10196} -> PackageSetting{95502b1 com.pseddev.singventory/10233} BLOCKED
2025-08-12 16:16:02.466   747-895   AppsFilter              system_server                        I  interaction: PackageSetting{c2d3527 com.pseddev.playstreak.debug/10231} -> PackageSetting{95502b1 com.pseddev.singventory/10233} BLOCKED
2025-08-12 16:16:02.466   747-895   AppsFilter              system_server                        I  interaction: PackageSetting{89bb3d4 com.pseddev.playstreak/10232} -> PackageSetting{95502b1 com.pseddev.singventory/10233} BLOCKED
2025-08-12 16:16:02.470   747-885   system_server           system_server                        I  AssetManager2(0x7f287cefe0b8) locale list changing from [] to [en-US]
2025-08-12 16:16:02.473  1162-1162  CarrierSvcBindHelper    com.android.phone                    D  onHandleForceStop: [com.pseddev.singventory]
2025-08-12 16:16:02.475  1162-1162  CarrierSvcBindHelper    com.android.phone                    D  No carrier app for: 0
2025-08-12 16:16:02.477   747-885   system_server           system_server                        I  AssetManager2(0x7f287cec5fd8) locale list changing from [] to [en-US]
2025-08-12 16:16:02.485  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: DockObserver
2025-08-12 16:16:02.486  5162-5162  Parcel                  service                              E  Reading a NULL string not supported here.
2025-08-12 16:16:02.488  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: SurfaceFlinger
2025-08-12 16:16:02.488  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: SurfaceFlingerAIDL
2025-08-12 16:16:02.488  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: accessibility
2025-08-12 16:16:02.489  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: account
2025-08-12 16:16:02.490  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: activity
2025-08-12 16:16:02.491  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: activity_task
2025-08-12 16:16:02.492  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: adb
2025-08-12 16:16:02.493  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: adservices_manager
2025-08-12 16:16:02.494  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: advanced_protection
2025-08-12 16:16:02.495  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: alarm
2025-08-12 16:16:02.496  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: ambient_context
2025-08-12 16:16:02.497  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.cameraservice.service.ICameraService/default
2025-08-12 16:16:02.498  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.devicestate.IDeviceStateService/default
2025-08-12 16:16:02.499  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.location.altitude.IAltitudeService/default
2025-08-12 16:16:02.500  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.sensorservice.ISensorManager/default
2025-08-12 16:16:02.501  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.stats.IStats/default
2025-08-12 16:16:02.501  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.frameworks.vibrator.IVibratorControlService/default
2025-08-12 16:16:02.496  5162-5162  service                 service                              W  type=1400 audit(0.0:366): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_authsecret_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.502  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.authsecret.IAuthSecret/default
2025-08-12 16:16:02.504  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328676, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.500  5162-5162  service                 service                              W  type=1400 audit(0.0:367): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_fingerprint_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.507  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328680, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.508  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.bluetooth.IBluetoothHci/default
2025-08-12 16:16:02.504  5162-5162  service                 service                              W  type=1400 audit(0.0:368): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_bluetooth_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.511  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328684, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.512  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.bluetooth.audio.IBluetoothAudioProviderFactory/default
2025-08-12 16:16:02.508  5162-5162  service                 service                              W  type=1400 audit(0.0:369): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_audio_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.516  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328689, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.516  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.bluetooth.offload.leaudio.IHciProxy/default
2025-08-12 16:16:02.512  5162-5162  service                 service                              W  type=1400 audit(0.0:370): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_bluetooth_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.520  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328693, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.521  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.camera.provider.ICameraProvider/internal/0
2025-08-12 16:16:02.521  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328697, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.521  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.camera.provider.ICameraProvider/internal/1
2025-08-12 16:16:02.521  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328701, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.522  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.cas.IMediaCasService/default
2025-08-12 16:16:02.523  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.contexthub.IContextHub/default
2025-08-12 16:16:02.523  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328710, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.524  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.drm.IDrmFactory/widevine
2025-08-12 16:16:02.520  5162-5162  service                 service                              W  type=1400 audit(0.0:371): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_camera_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.525  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.gatekeeper.IGatekeeper/default
2025-08-12 16:16:02.525  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328719, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.520  5162-5162  service                 service                              W  type=1400 audit(0.0:372): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_camera_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.520  5162-5162  service                 service                              W  type=1400 audit(0.0:373): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_contexthub_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.529  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328723, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.530  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.graphics.allocator.IAllocator/default
2025-08-12 16:16:02.531  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.graphics.composer3.IComposer/default
2025-08-12 16:16:02.531  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328733, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.532  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.health.IHealth/default
2025-08-12 16:16:02.532  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328737, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.532  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.identity.IIdentityCredentialStore/default
2025-08-12 16:16:02.520  5162-5162  service                 service                              W  type=1400 audit(0.0:374): avc:  denied  { call } for  scontext=u:r:shell:s0 tcontext=u:r:hal_gatekeeper_default:s0 tclass=binder permissive=0
2025-08-12 16:16:02.532  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328741, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.533  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.light.ILights/default
2025-08-12 16:16:02.533  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328745, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.534  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.media.c2.IComponentStore/software
2025-08-12 16:16:02.535  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.neuralnetworks.IDevice/nnapi-sample_all
2025-08-12 16:16:02.536  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.neuralnetworks.IDevice/nnapi-sample_quant
2025-08-12 16:16:02.537  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.neuralnetworks.IDevice/nnapi-sample_sl_shim
2025-08-12 16:16:02.538  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.power.IPower/default
2025-08-12 16:16:02.538  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328769, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.538  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.power.stats.IPowerStats/default
2025-08-12 16:16:02.539  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328773, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.539  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.config.IRadioConfig/default
2025-08-12 16:16:02.540  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328777, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.540  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.data.IRadioData/slot1
2025-08-12 16:16:02.540  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328781, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.541  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.ims.IRadioIms/slot1
2025-08-12 16:16:02.541  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328785, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.542  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.ims.media.IImsMedia/default
2025-08-12 16:16:02.542  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328789, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.542  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.messaging.IRadioMessaging/slot1
2025-08-12 16:16:02.543  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328794, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.543  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.modem.IRadioModem/slot1
2025-08-12 16:16:02.543  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328798, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.544  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.network.IRadioNetwork/slot1
2025-08-12 16:16:02.544  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328802, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.544  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.sap.ISap/slot1
2025-08-12 16:16:02.545  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328806, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.545  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.sim.IRadioSim/slot1
2025-08-12 16:16:02.545  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328810, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.546  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.radio.voice.IRadioVoice/slot1
2025-08-12 16:16:02.546  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328814, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.546  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.rebootescrow.IRebootEscrow/default
2025-08-12 16:16:02.547  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328818, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.549  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.security.keymint.IRemotelyProvisionedComponent/default
2025-08-12 16:16:02.554  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.security.sharedsecret.ISharedSecret/gatekeeper
2025-08-12 16:16:02.554  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328833, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.555  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.sensors.ISensors/default
2025-08-12 16:16:02.555  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328837, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.556  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.thermal.IThermal/default
2025-08-12 16:16:02.556  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328841, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.556  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.threadnetwork.IThreadChip/chip0
2025-08-12 16:16:02.556  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328845, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.557  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.usb.IUsb/default
2025-08-12 16:16:02.557  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328849, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.558  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.uwb.IUwb/default
2025-08-12 16:16:02.558  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328853, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.558  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.vibrator.IVibrator/default
2025-08-12 16:16:02.559  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328857, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.559  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.vibrator.IVibratorManager/default
2025-08-12 16:16:02.559  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328862, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.560  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.wifi.IWifi/default
2025-08-12 16:16:02.560  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328866, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.561  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.hardware.wifi.supplicant.ISupplicant/default
2025-08-12 16:16:02.561  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328870, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.562  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.apc
2025-08-12 16:16:02.563  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.authorization
2025-08-12 16:16:02.565  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.compat
2025-08-12 16:16:02.565  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.identity
2025-08-12 16:16:02.566  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.legacykeystore
2025-08-12 16:16:02.568  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.maintenance
2025-08-12 16:16:02.568  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.security.metrics
2025-08-12 16:16:02.572  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.system.keystore2.IKeystoreService/default
2025-08-12 16:16:02.572  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.system.net.netd.INetd/default
2025-08-12 16:16:02.572  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328916, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.573  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.system.suspend.ISystemSuspend/default
2025-08-12 16:16:02.573  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328920, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.573  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.system.vmtethering.IVmTethering
2025-08-12 16:16:02.574  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: android.system.vold.IVold/default
2025-08-12 16:16:02.574  5162-5162  IPCThreadState          service                              E  Binder transaction failure. id: 328929, BR_*: 29201, error: -1 (Operation not permitted)
2025-08-12 16:16:02.575  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: app_binding
2025-08-12 16:16:02.575  5162-5162  Parcel                  service                              E  Reading a NULL string not supported here.
2025-08-12 16:16:02.576  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: app_function
2025-08-12 16:16:02.576  5162-5162  service                 service                              W  Thread Pool max thread count is 0. Cannot cache binder as linkToDeath cannot be implemented. serviceName: app_hibernation
